Pe_w,Pf_Pe,alpha,back_frac
0.25,0.25,1.5226507528730393,0.49655900000000003
0.25,0.5,1.7069954720051228,0.4924671
0.25,0.75,1.8226661294933042,0.48942169999999996
0.25,1.0,1.9268616320559402,0.4854382
0.25,1.25,1.953143641331401,0.4816059
0.25,1.5,1.9547592593401084,0.47790889999999997
0.25,1.75,1.9714132709534535,0.4738921
0.25,2.0,1.9613865909242092,0.4698577
0.25,2.25,1.9727526153599397,0.46544650000000004
0.25,2.5,1.9926655344104864,0.46148089999999997
0.25,2.75,1.9903748430491333,0.4572845
0.25,3.0,1.9898730680260543,0.45361470000000004
0.25,3.25,1.9819407561209468,0.4486207
0.25,3.5,1.9969064581847686,0.4450987
0.25,3.75,1.9895035054262544,0.4394706
0.25,4.0,1.9839232125425053,0.4362591
0.5,0.25,1.243787951483029,0.4951839
0.5,0.5,1.5205243227905652,0.4898289
0.5,0.75,1.8464914573842035,0.4840614
0.5,1.0,1.890132339943706,0.4790735
0.5,1.25,1.857463415245804,0.4718402
0.5,1.5,1.8895067841152886,0.4649103
0.5,1.75,1.9606801219342624,0.457582
0.5,2.0,1.9595945668990933,0.448144
0.5,2.25,1.962918547368586,0.43955489999999997
0.5,2.5,1.9753203931618963,0.43040809999999996
0.5,2.75,1.989672643374007,0.42214209999999996
0.5,3.0,2.002483158439949,0.41320379999999995
0.5,3.25,2.004557702839696,0.40359550000000005
0.5,3.5,2.0009911345893068,0.3942983
0.5,3.75,2.0022821794224046,0.38562620000000003
0.5,4.0,2.006931743621871,0.37604010000000004
0.75,0.25,1.0357040529934447,0.49624029999999997
0.75,0.5,1.3542227727388783,0.4926419
0.75,0.75,1.6869692589304248,0.4856436
0.75,1.0,1.8867772738258826,0.47716089999999994
0.75,1.25,1.8245056002283846,0.4676054
0.75,1.5,1.9591179937076313,0.4558871
0.75,1.75,1.9845528945505633,0.4434157
0.75,2.0,1.9630881457705953,0.4301521
0.75,2.25,1.9734239290014675,0.4176763
0.75,2.5,1.9888917068981034,0.4030524
0.75,2.75,1.9893776924469049,0.38862129999999995
0.75,3.0,1.99742909938442,0.3748901
0.75,3.25,2.000550774225199,0.3606787
0.75,3.5,1.9916749235922988,0.34733220000000004
0.75,3.75,1.9937717136075914,0.3340956
0.75,4.0,1.996724022171136,0.3208019
1.0,0.25,1.0571452821907308,0.5007077
1.0,0.5,0.9948535190056164,0.4988965
1.0,0.75,1.410378590939345,0.49064080000000004
1.0,1.0,1.7591600326993164,0.4797578
1.0,1.25,1.9068465335628464,0.4657507
1.0,1.5,1.93854929151193,0.4492048
1.0,1.75,1.9398283984969173,0.4315228
1.0,2.0,1.9887490297809443,0.41357099999999997
1.0,2.25,1.984851913521955,0.394745
1.0,2.5,1.9877415510954997,0.3758657
1.0,2.75,1.9920995945407547,0.35773449999999996
1.0,3.0,1.997389166148949,0.3391204
1.0,3.25,1.9910699728302648,0.3213509
