lp_w,Pf_Ps,alpha,trap_frac,mean_vx
0.25,0.125,1.1844638811352906,0.10716,194.81735461361663
0.25,0.25,1.441584401255138,0.10454,390.5983987324983
0.25,0.375,1.5941086656694476,0.0937,616.2804504990258
0.25,0.5,1.734103183515521,0.08978,825.9885224215249
0.25,0.625,1.801920254363845,0.08434,1036.310247152302
0.25,0.75,1.7998836754715304,0.07818,1224.0538423407781
0.25,0.875,1.8550369235564115,0.07556,1432.7731209552996
0.25,1.0,1.8899248758579437,0.06658,1641.2357840271184
0.25,1.125,1.924594678096407,0.06184,1840.024852871964
0.25,1.25,1.9286241550391192,0.05432,2064.1051120389084
0.25,1.375,1.9486033077850469,0.04992,2267.4870769526774
0.25,1.5,1.9319874968595132,0.04446,2481.060945977587
0.25,1.625,1.9573571848493372,0.04032,2711.7011329942834
0.25,1.75,1.9454531062908784,0.03336,2939.493419854546
0.25,1.875,1.9553861122976892,0.02922,3152.4231088631986
0.25,2.0,1.9623505221545283,0.02382,3421.0048515424846
0.5,0.125,1.1347088187958176,0.19124,275.1651625295956
0.5,0.25,1.2665602038369308,0.18732,516.826862420072
0.5,0.375,1.5144295252061515,0.1783,837.5978350513202
0.5,0.5,1.5284645312764367,0.1771,1042.666787374044
0.5,0.625,1.7216579524029372,0.16458,1357.0337503197927
0.5,0.75,1.7713202227609337,0.15186,1684.2830452228343
0.5,0.875,1.861028861750655,0.13798,2029.5363855702772
0.5,1.0,1.8724455617686868,0.12076,2392.772561302687
0.5,1.125,1.857560059277085,0.10586,2735.1274961599456
0.5,1.25,1.9147926422031192,0.08854,3190.511835064988
0.5,1.375,1.9198324022585869,0.0724,3563.1636984211277
0.5,1.5,1.9745477680499193,0.0557,3975.0450612485934
0.5,1.625,1.9269234937747715,0.0462,4375.6925885133205
0.5,1.75,1.9574031945513066,0.03306,4840.650012150446
0.5,1.875,1.963185611602147,0.02464,5346.416793243544
0.5,2.0,1.970507069080399,0.01726,5814.3376585828255
0.75,0.125,1.072515881645572,0.25208,177.87494727425894
0.75,0.25,1.0702998147345426,0.2544,351.05086040824176
0.75,0.375,1.2831826515240854,0.25242,650.3005409839816
0.75,0.5,1.3636811493052508,0.24438,885.7958086727458
0.75,0.625,1.500318548312788,0.23084,1261.6521368360836
0.75,0.75,1.703013854497855,0.2159,1585.3057596073593
0.75,0.875,1.7670979851037854,0.19116,2083.365596060589
0.75,1.0,1.8168876863655667,0.16898,2536.9328930716492
0.75,1.125,1.8747626478968686,0.13718,3065.071032569066
0.75,1.25,1.8885151460399185,0.1084,3621.0190400862
0.75,1.375,1.9074982237570621,0.08376,4324.676564969455
0.75,1.5,1.9539511195201946,0.05776,4991.706676567865
0.75,1.625,1.96509154347024,0.03884,5669.982986993172
0.75,1.75,1.988991258072648,0.02588,6436.549410718336
0.75,1.875,1.9637119927668636,0.01516,7174.107708768387
0.75,2.0,1.9780503474110427,0.00866,7956.610941669015
1.0,0.125,0.9632587621319577,0.29692,9.495405739455489
1.0,0.25,1.0534334593360528,0.31236,-119.40892507986625
1.0,0.375,0.9465185879026562,0.309,83.9598299936996
1.0,0.5,1.0636868808517734,0.30516,214.57749144704133
1.0,0.625,1.1899317324881264,0.28772,544.7701369795161
1.0,0.75,1.4328703134656515,0.26356,1069.6486684501626
1.0,0.875,1.606351488228863,0.228,1684.4617933607087
1.0,1.0,1.7572405788940753,0.19292,2347.331041501334
1.0,1.125,1.8378260727009368,0.15276,3093.473878097618
1.0,1.25,1.903708809026577,0.10686,3968.120838385981
1.0,1.375,1.9269873448212456,0.07526,4898.885682752366
1.0,1.5,1.9350303448083492,0.04862,5849.972249382237
1.0,1.625,1.9604300718520689,0.02894,6824.167324271538
1.0,1.75,1.9698666449381848,0.01648,7828.990583829793
1.0,1.875,1.9720629435159718,0.0081,8893.340490658107
1.0,2.0,1.9834865602619436,0.00388,9954.170780026066
1.25,0.125,1.059872449151283,0.33514,-409.58902886209415
1.25,0.25,1.1127188581570169,0.35344,-697.6459779216468
1.25,0.375,1.2321119292684792,0.35588,-821.7939236495897
1.25,0.5,1.270288326991483,0.3478,-690.8888945101995
1.25,0.625,1.021909734237032,0.32948,-272.1015754533042
1.25,0.75,1.0905349355746745,0.2968,318.5589502261859
1.25,0.875,1.3851128373041202,0.25346,1077.041267684875
1.25,1.0,1.692386231421908,0.20292,2002.472124036671
1.25,1.125,1.8281158909722786,0.14662,3008.933682024843
1.25,1.25,1.896877537541631,0.09816,4122.746865788589
1.25,1.375,1.9011867823690582,0.05956,5310.704747327958
1.25,1.5,1.9313880137612995,0.03438,6573.56660862301
1.25,1.625,1.9681492567989711,0.0185,7860.238491963577
1.25,1.75,1.968924741908991,0.00922,9170.164359973369
1.25,1.875,1.9864604580480376,0.0037,10503.542931265336
1.25,2.0,1.9809015681936977,0.00142,11948.951301774252
1.5,0.125,1.1914189780958437,0.36652,-919.2404792696077
1.5,0.25,1.4601599333386162,0.38918,-1749.7144191195662
1.5,0.375,1.5320778483797055,0.39152,-1998.810662402332
1.5,0.5,1.6113795557538018,0.38532,-1829.4800119990211
1.5,0.625,1.6432166508636752,0.36018,-1447.0500089095033
1.5,0.75,1.2258695891959817,0.32662,-681.6971606195996
1.5,0.875,1.0510002105822354,0.2749,367.49200361504705
1.5,1.0,1.5987460840539256,0.21134,1556.7592630511188
1.5,1.125,1.814450490592046,0.13958,2893.240765344689
1.5,1.25,1.9061702636578386,0.08106,4283.777725878643
1.5,1.375,1.9314731400555454,0.04308,5752.015627349101
