lp_w,Pf_Ps,alpha,trap_frac,mean_vx
0.25,0.125,1.075007701855757,0.11154824,0.19109275780622087
0.25,0.25,1.3935457253522774,0.10939462,0.407706588572907
0.25,0.375,1.6064529106761427,0.1098675,0.5994599874923028
0.25,0.5,1.6887531447104827,0.10991444,0.8037274324119328
0.25,0.625,1.8106124362945026,0.10959456,1.0220893024949103
0.25,0.75,1.8442114567031946,0.10776546,1.2147294264319795
0.25,0.875,1.8648398937541466,0.10841974,1.4346451972188827
0.25,1.0,1.8936004367120192,0.10730958,1.642843538161677
0.25,1.125,1.9066453661946199,0.10489394,1.8375643108353037
0.25,1.25,1.9253001952925217,0.10348818,2.0688989181523154
0.25,1.375,1.941867786076155,0.10216076,2.28362495728346
0.25,1.5,1.9557574273692628,0.1024355,2.493667002505087
0.25,1.625,1.965072632091007,0.10079904,2.7245351165265763
0.25,1.75,1.9447475727931578,0.09897204,2.9541361967003614
0.25,1.875,1.9625451875162327,0.09858826,3.1687916174827886
0.25,2.0,1.9487881863215766,0.09638314,3.3822346305861815
0.5,0.125,1.105922465389279,0.19200218,0.21266764613527425
0.5,0.25,1.252198642916279,0.18984276,0.5048396161708019
0.5,0.375,1.4764282999404286,0.18608474,0.8087064554075467
0.5,0.5,1.5744603674321884,0.18368508,1.0755549404424198
0.5,0.625,1.7373862434365965,0.18052924,1.3972553763821083
0.5,0.75,1.783062011734491,0.1766602,1.6997797033215463
0.5,0.875,1.80390658204626,0.17312294,2.012829652488116
0.5,1.0,1.8966933232893437,0.16632472,2.3868001410988047
0.5,1.125,1.9130065191090508,0.15987248,2.7626184933461166
0.5,1.25,1.9383269856589724,0.15573658,3.1298284602334596
0.5,1.375,1.9218664612264997,0.15205894,3.584024539207418
0.5,1.5,1.9343262592058381,0.14733672,3.9675455537125
0.5,1.625,1.938315701343137,0.14083378,4.413067572211078
0.5,1.75,1.9477628429420877,0.13650408,4.865231517046033
0.5,1.875,1.9599198781970895,0.13070538,5.321653234358088
0.5,2.0,1.960797466502206,0.12661496,5.809537942820568
0.75,0.125,0.9745904708416087,0.24799774,0.16855106585558235
0.75,0.25,1.1233060449895766,0.2441823,0.34615352177899883
0.75,0.375,1.216535608340583,0.2393241,0.603574099345106
0.75,0.5,1.310094893401911,0.23286026,0.8659765794843464
0.75,0.625,1.5235709135282143,0.22355832,1.2017813733366463
0.75,0.75,1.5955082926296145,0.2152757,1.5897674943515252
0.75,0.875,1.7383957443677236,0.2071547,2.074974952416614
0.75,1.0,1.839239376969514,0.19474874,2.5494182716123057
0.75,1.125,1.8481535411608314,0.18636224,3.084909711704293
0.75,1.25,1.9179744339304405,0.17708488,3.681269805883086
0.75,1.375,1.907424677199536,0.16830266,4.295845782273264
0.75,1.5,1.9404023514407738,0.16006498,5.001832949267351
0.75,1.625,1.9458542599477011,0.15215672,5.7026804991631295
0.75,1.75,1.9707283107517573,0.14510196,6.399494630347991
0.75,1.875,1.9728938346512852,0.1376176,7.164746790126557
0.75,2.0,1.9804717985544364,0.13080954,7.959260388581884
1.0,0.125,0.9516913107430428,0.28531912,-0.03604515642638563
1.0,0.25,0.9365811888019256,0.28103868,0.004636736650716923
1.0,0.375,0.9355786748161761,0.27022568,0.0920925601146489
1.0,0.5,0.9763643949397209,0.259646,0.2654467470702011
1.0,0.625,1.270756760110536,0.24761744,0.600468026918634
1.0,0.75,1.4730940606882446,0.23340888,1.081254141263109
1.0,0.875,1.6497469406506973,0.22149514,1.6903152070817997
1.0,1.0,1.7603849785682872,0.20676672,2.357833073962514
1.0,1.125,1.8326746977154087,0.1947425,3.1164267061181365
1.0,1.25,1.9080821375311217,0.18409484,3.9716998792118416
1.0,1.375,1.915612237630575,0.17289812,4.859827900396537
1.0,1.5,1.9558553962697234,0.16252324,5.834809401553044
1.0,1.625,1.972726430524274,0.15202412,6.807102013165726
1.0,1.75,1.9745803011128087,0.1439417,7.788790928077824
1.0,1.875,1.9813080817081763,0.13616338,8.880563825179058
1.0,2.0,1.9870526149049612,0.12845468,9.960296730136612
1.25,0.125,1.1481942692180342,0.31015472,-0.5378406633866019
1.25,0.25,1.1401414847502327,0.30217858,-0.7183644784357598
1.25,0.375,1.2139961390789251,0.29201306,-0.7946114012393755
1.25,0.5,1.1675863825731059,0.27571458,-0.6581259745022896
1.25,0.625,1.065525687541351,0.25859456,-0.2965088688457159
1.25,0.75,0.9795240711421348,0.24297138,0.3112900114153975
1.25,0.875,1.3536810083717168,0.22706084,1.0295260920666143
1.25,1.0,1.7180509314393315,0.21089326,1.966670938545145
1.25,1.125,1.832748634270505,0.19762568,3.013934305237553
1.25,1.25,1.8979422468908442,0.18358054,4.139014322550675
1.25,1.375,1.9276317625879824,0.17100544,5.330213357441515
1.25,1.5,1.9569234088198422,0.15874496,6.591572097410586
1.25,1.625,1.9721088549974743,0.14767946,7.881248330403704
1.25,1.75,1.9694782979464682,0.1401932,9.201163597515933
1.25,1.875,1.9779271933647324,0.13123702,10.618673890458558
1.25,2.0,1.9925231802697383,0.1240708,11.877141505855874
1.5,0.125,1.254919708048875,0.3300436,-0.9889906998805859
1.5,0.25,1.3403980877816872,0.31981756,-1.5215770090107024
1.5,0.375,1.528921004680545,0.30607624,-1.846721379162983
1.5,0.5,1.6340355922821888,0.28590676,-1.965108783443799
1.5,0.625,1.5481426101035676,0.26607078,-1.440703974741888
1.5,0.75,1.1445210151647018,0.2457262,-0.6221728615110863
1.5,0.875,1.1438302720183868,0.2273233,0.34562195139402074
1.5,1.0,1.564954402735629,0.21044908,1.5231881529303282
1.5,1.125,1.8302657188721634,0.19408918,2.8718647702717246
1.5,1.25,1.9069466894566498,0.17980572,4.266758706918629
1.5,1.375,1.9395105173782161,0.16756358,5.728031168108661
1.5,1.5,1.9449369410197894,0.15650708,7.3223029241744175
1.5,1.625,1.967025126298895,0.14556688,8.922576919
1.5,1.75,1.9815455660246222,0.13591876,10.54024924619652
1.5,1.875,1.9907218350476428,0.12747432,12.157649969736037
1.5,2.0,1.9882249402158945,0.11921016,13.881210159197886
1.75,0.125,1.2791516680501536,0.34294468,-1.4953833559634435
1.75,0.25,1.6306509557441973,0.33168138,-2.6619035476456023
1.75,0.375,1.786232687190956,0.31381142,-3.2025080957190246
1.75,0.5,1.835153456774945,0.29283542,-3.1653308737231756
1.75,0.625,1.8522780294385661,0.26922096,-2.5877575377209325
1.75,0.75,1.7020890825279829,0.2470277,-1.6420579628299772
1.75,0.875,1.1295001006926826,0.2272069,-0.3860817026312274
1.75,1.0,1.4699954837730396,0.20845732,1.0703644031223136
1.75,1.125,1.8054382990381854,0.19141398,2.6527663709959706
1.75,1.25,1.8982675614444322,0.17634388,4.40589030430942
1.75,1.375,1.9309490618025864,0.164023,6.194995074553213
1.75,1.5,1.962446830970569,0.15198914,8.056216429694325
1.75,1.625,1.9715521955534252,0.14174226,9.902910994806684
1.75,1.75,1.9861580513892367,0.1323215,11.887013637588115
1.75,1.875,1.9769170482596112,0.12324414,13.8186138257297
1.75,2.0,1.989341691933249,0.11539538,15.756842784647922
2.0,0.125,1.3411848387535505,0.35631056,-2.2561403243273745
2.0,0.25,1.7103817960708692,0.34535394,-4.047224694715896
2.0,0.375,1.8470257477979422,0.32339068,-4.748950073805838
2.0,0.5,1.952624032870894,0.2955807,-4.615730082639053
2.0,0.625,1.9589457997609834,0.2727111,-3.8944101051229714
2.0,0.75,1.9398409409155752,0.2473849,-2.698810893062545
2.0,0.875,1.6501647149077472,0.22610546,-1.1493089013172086
2.0,1.0,1.211508761172034,0.20529374,0.6131633935448868
2.0,1.125,1.7659374119110696,0.18928532,2.543032565280025
2.0,1.25,1.9185630262645355,0.1742742,4.510231568147477
