lp_w,Pf_Ps,alpha,trap_frac,mean_vx
0.25,0.125,1.1673922269985657,0.11057018,0.19692190179967425
0.25,0.25,1.4013113616853872,0.10986396,0.37947293219869427
0.25,0.375,1.5985416610724117,0.11148766,0.5777035099188856
0.25,0.5,1.7157078894979712,0.11206474,0.7628597477192596
0.25,0.625,1.7844518613589293,0.10893014,0.9400324074765116
0.25,0.75,1.8554580573019166,0.10925078,1.1637839922033868
0.25,0.875,1.8700875903022134,0.10832246,1.3446081014633722
0.25,1.0,1.8627234223430016,0.10783284,1.5628190608217185
0.25,1.125,1.9151157927495266,0.10876534,1.748864464889456
0.25,1.25,1.926936197827353,0.10449592,1.9877147340074992
0.25,1.375,1.922923736968388,0.10355598,2.1568167082016974
0.25,1.5,1.9070235308401655,0.1034175,2.37658247059672
0.25,1.625,1.9386768635722909,0.10240372,2.5967160379212664
0.25,1.75,1.9442687574226585,0.10123776,2.8109987522861326
0.25,1.875,1.935440165284864,0.099043,3.0157883861631034
0.25,2.0,1.9489933423323893,0.09783008,3.2440315789225553
0.5,0.125,1.0453121065545956,0.19331486,0.22914586615476235
0.5,0.25,1.203655563240147,0.19175268,0.34884883477006257
0.5,0.375,1.3558949422789273,0.18935406,0.6018463076900691
0.5,0.5,1.494232141514332,0.18749986,0.8304318892813708
0.5,0.625,1.5731615685775369,0.18226268,1.0746433317532722
0.5,0.75,1.659284364724216,0.17846044,1.3574480665881368
0.5,0.875,1.7728999429694638,0.17326024,1.6687315187897471
0.5,1.0,1.8414710471917248,0.17211636,1.9433601284067026
0.5,1.125,1.830993426606507,0.1663159,2.3017538480493984
0.5,1.25,1.8812702012867104,0.16148274,2.6833802910906543
0.5,1.375,1.908717649785735,0.15636126,3.0792025142169583
0.5,1.5,1.9096118257511898,0.15218874,3.448166313306049
0.5,1.625,1.9336303732881277,0.14808168,3.915946418158969
0.5,1.75,1.9298251041264067,0.144078,4.323457697896919
0.5,1.875,1.944551567737921,0.14038194,4.798908471265899
0.5,2.0,1.9643005610480062,0.13643548,5.237664899519249
0.75,0.125,1.0399302106795532,0.24780744,0.029410359880633778
0.75,0.25,1.0373809741191815,0.24517592,-0.03974638613887051
0.75,0.375,1.075224137316979,0.24255276,0.07057818879046937
