lp_w,Pf_Ps,alpha,alpha_x
0.25,0.125,1.1451736205671164,1.191848850568826
0.25,0.25,1.2822110530320365,1.3144664544659272
0.25,0.375,1.4964452503427272,1.5265494768754755
0.25,0.5,1.6842470965722598,1.7023934162458525
0.25,0.625,1.8249450992329563,1.845099264754328
0.25,0.75,1.8703043060670386,1.887061179721556
0.25,0.875,1.8444807184345298,1.85541139194162
0.25,1.0,1.8386021122616476,1.8457934467527168
0.25,1.125,1.887941538144219,1.8944031427029708
0.25,1.25,1.9064602654854916,1.9119586116041913
0.25,1.375,1.970894810342144,1.9762561170537487
0.25,1.5,1.9282541348204834,1.9327409481725637
0.25,1.625,1.8948486254532682,1.8980694895722838
0.25,1.75,1.9206752436267955,1.9236622623185717
0.25,1.875,1.9583339583131094,1.961137778909619
0.25,2.0,1.9189891700985584,1.921173749955716
0.5,0.125,0.9510861892271617,0.9665693264880507
0.5,0.25,1.3866796339389755,1.4056991420104503
0.5,0.375,1.3617690595198775,1.3762634182951556
0.5,0.5,1.620678563281107,1.6337206650552254
0.5,0.625,1.5209417705813746,1.5292824930328324
0.5,0.75,1.770416311758113,1.7780555503798487
0.5,0.875,1.799427938828943,1.806279370998843
0.5,1.0,1.8925203124168146,1.8993433636720554
0.5,1.125,1.9827849319773239,1.9875023397977476
0.5,1.25,1.8759752179530338,1.8793324930308037
0.5,1.375,1.9028559540152328,1.905326109532461
0.5,1.5,1.9365560826520523,1.938727330061418
0.5,1.625,1.83135576869718,1.8326572650568416
0.5,1.75,1.906272598700352,1.907590916663098
0.5,1.875,1.9840122487599774,1.9852304883681768
0.5,2.0,2.041389957304566,2.042555865391034
0.75,0.125,0.9446887000495133,0.9519477126856477
0.75,0.25,1.014354984638159,1.021989929361218
0.75,0.375,1.0013756621835486,1.0088277521900322
0.75,0.5,0.9648689830791504,0.9738534295858371
0.75,0.625,1.0648530834971852,1.0731300427502555
0.75,0.75,1.24204234466799,1.2491594071608554
0.75,0.875,1.4507713705856735,1.4576539223207012
0.75,1.0,1.7018461288634847,1.7073905153961049
0.75,1.125,1.816292575449015,1.8202575246877255
0.75,1.25,1.8072356256914552,1.8100667445703693
0.75,1.375,1.8206848625579737,1.8225728346047454
0.75,1.5,1.9239225409609557,1.925551630618302
0.75,1.625,1.89515437167055,1.8962470658407542
0.75,1.75,1.8962713907116593,1.8971850186253496
0.75,1.875,1.9579192325437818,1.9587193740831679
0.75,2.0,1.9506547206396632,1.9513042441197275
1.0,0.125,0.9997433401615933,1.0044079576905114
1.0,0.25,1.3432581273452429,1.35001589167334
