Pe,Pf,alpha
0.0,0.0,0.9140734706785955
0.0,1.25,1.930222294837863
0.0,2.5,2.025372862007027
0.0,3.75,1.9890857176952674
0.0,5.0,1.9806565968109653
2.5,0.0,1.1292018721901949
2.5,1.25,1.6740144327412527
2.5,2.5,1.9175822061609575
2.5,3.75,1.9339459720177283
2.5,5.0,1.913547271649202
5.0,0.0,1.231197263599848
5.0,1.25,1.439117057388092
5.0,2.5,1.6074235022343988
5.0,3.75,1.6923008486970865
5.0,5.0,1.9044563267956174
7.5,0.0,1.0822685389808
7.5,1.25,1.2953207364060946
7.5,2.5,1.2035361920395353
7.5,3.75,1.5738292535592548
7.5,5.0,1.5514554439338077
10.0,0.0,1.0532102162750063
10.0,1.25,1.1313360100232948
10.0,2.5,1.086076856110143
10.0,3.75,1.3019913266960386
10.0,5.0,1.0227385416903414
