lp_w,Pf_Pe,alpha,back_frac,mean_vx
0.25,0.125,1.1410498515599032,0.49833629999999995,0.16394959643141646
0.25,0.25,1.3596435399747113,0.4963592,0.4035370085093714
0.25,0.375,1.4909267095624914,0.4946457,0.6101801671660906
0.25,0.5,1.6928717263017852,0.492945,0.8100525535359484
0.25,0.625,1.7627169916624565,0.49097779999999996,1.0031415528524519
0.25,0.75,1.8548904451540291,0.4888714,1.2509817470598352
0.25,0.875,1.896564798758604,0.4872068,1.418762725776793
0.25,1.0,1.92533358104318,0.4849621,1.6633763536754929
0.25,1.125,1.9207886939572247,0.4830508,1.9116991254937008
0.25,1.25,1.9451687681895045,0.4812964,2.095979011116261
0.25,1.375,1.9310243886449503,0.47983839999999994,2.258382609252113
0.25,1.5,1.9522892609185167,0.4776313,2.527710836077891
0.25,1.625,1.9343870506236833,0.47582040000000003,2.699082795639745
0.25,1.75,1.9967016688640078,0.4736404,2.9473664479873003
0.25,1.875,1.9234000654424173,0.4717389,3.155707789434536
0.25,2.0,1.9699815236268188,0.4702497,3.3398698158006423
0.5,0.125,0.9455422055799795,0.4975547,0.2728403829261358
0.5,0.25,1.2459438324866128,0.4952454,0.5261625957662508
0.5,0.375,1.525725917702798,0.4932053,0.7623035196167673
0.5,0.5,1.5465017570401776,0.4902411,1.0911563160959084
0.5,0.625,1.656245246002278,0.48723239999999995,1.4158044107720256
0.5,0.75,1.9044345123375983,0.484698,1.7127825336290095
0.5,0.875,1.813464161956619,0.482114,2.0232585124481166
0.5,1.0,1.8731713364680929,0.47893610000000003,2.379681756439802
0.5,1.125,1.8814996071360697,0.4750482,2.7935553457977855
0.5,1.25,1.9092117935174826,0.47178269999999994,3.182836175179068
0.5,1.375,1.9436025398003798,0.46935540000000003,3.459568971219383
0.5,1.5,1.9312384009051666,0.4644906,3.9977286611884675
0.5,1.625,1.9783990395335838,0.4605673,4.442634847120929
0.5,1.75,1.966745524809814,0.4566876,4.906449993863792
0.5,1.875,1.9777628669072507,0.4530312,5.318557030222352
0.5,2.0,1.9506482591107983,0.44865309999999997,5.814722313416808
0.75,0.125,0.9585974780701717,0.49919800000000003,0.08483564701021022
0.75,0.25,1.0582680571327916,0.4974646,0.27555803741570356
0.75,0.375,1.3388868077752978,0.49554309999999996,0.5080439009971435
0.75,0.5,1.493292072896055,0.4921429,0.8901530743030781
0.75,0.625,1.491176172458165,0.4894043,1.201274231449683
0.75,0.75,1.6265298984958396,0.4856862,1.6153142982693913
0.75,0.875,1.75540544467142,0.4820756,2.0130634746089875
0.75,1.0,1.8048374315953069,0.4785068,2.4326453642682604
0.75,1.125,1.89798381593587,0.4721221,3.141387609247566
0.75,1.25,1.899392756691868,0.4672497,3.6987875554101968
0.75,1.375,1.9145899534045525,0.4613693,4.379865758167406
0.75,1.5,1.9335965630278005,0.4567644,4.901610703187039
0.75,1.625,1.947061054590038,0.44937629999999995,5.74812666219568
0.75,1.75,1.9875106098712982,0.44373690000000005,6.403606819897583
0.75,1.875,1.9494297773448122,0.4362882,7.252231932247923
0.75,2.0,1.9830778454358757,0.4299628,7.96973299271996
1.0,0.125,0.9873842904986332,0.5007389,-0.07021210013047467
1.0,0.25,1.0200282400750786,0.4998182,0.01643610956462878
1.0,0.375,0.9908896474508835,0.4991029,0.12267927105800361
1.0,0.5,0.9499287369860994,0.498008,0.21949649672755897
1.0,0.625,1.1433303966952553,0.49453400000000003,0.652939744959137
1.0,0.75,1.4049367774600787,0.49194489999999996,0.9338141167282044
1.0,0.875,1.6100141677793398,0.4858311,1.6210238688620564
1.0,1.0,1.8017215647816176,0.4791494,2.3683814639971876
1.0,1.125,1.8746133337238802,0.4722511,3.1640678641536577
1.0,1.25,1.8982056236821632,0.4642649,4.065955419363148
1.0,1.375,1.9140364031782742,0.4573293,4.881787944436523
1.0,1.5,1.985864596019338,0.4486144,5.849029293581623
1.0,1.625,1.9349314135006992,0.441055,6.739083335763274
1.0,1.75,1.9352713989297867,0.431536,7.833976828124854
1.0,1.875,1.975839056729827,0.4224806,8.899405250355438
1.0,2.0,1.993912404870873,0.4134539,9.951127490399324
1.25,0.125,1.0749150312183349,0.5025093,-0.2564871153385609
1.25,0.25,1.2396739033338964,0.5068359,-0.7806956125043476
1.25,0.375,1.2615094500661097,0.5072672,-0.7941099975820625
1.25,0.5,1.1950932408269872,0.5064061,-0.694504081337131
1.25,0.625,1.0182232377435658,0.5031042,-0.3100126443357503
1.25,0.75,0.8902833710749566,0.4982486,0.22474034421125014
1.25,0.875,1.4159425974115707,0.49197040000000003,0.9399161865593572
1.25,1.0,1.779945421499067,0.4831425,1.9545595909635178
1.25,1.125,1.888510033541445,0.4735011,3.0245837355531493
1.25,1.25,1.9613974443446303,0.4628634,4.2603415622059
1.25,1.375,1.9190030283383401,0.45345019999999997,5.340771879316547
1.25,1.5,1.9678621397775953,0.4438766,6.4360237829217075
1.25,1.625,1.9546033946486294,0.4319806,7.836590871618819
1.25,1.75,1.9763951370884631,0.4209149,9.121044226115337
1.25,1.875,1.9949010969838297,0.4092924,10.488887738049288
1.25,2.0,1.9955909493639457,0.3970826,11.95323395636217
1.5,0.125,1.2231237586391843,0.5081273000000001,-0.9015479542031415
1.5,0.25,1.3447334252036105,0.5141775,-1.5560203314606678
1.5,0.375,1.6153338040857437,0.5181374,-2.0266091820969763
1.5,0.5,1.6210802212471116,0.5171485,-1.9097548053805158
1.5,0.625,1.499471269767128,0.5128089,-1.4169247662788165
1.5,0.75,1.2403591286038949,0.5060216000000001,-0.6225263006960784
1.5,0.875,1.153465446570655,0.4979785,0.27307354748711626
1.5,1.0,1.6243266067288176,0.48608160000000006,1.6325065115568849
1.5,1.125,1.8457214697196767,0.47537650000000004,2.8554357943908775
1.5,1.25,1.87323902327886,0.4629779,4.291664329943361
1.5,1.375,1.9699130338409312,0.450021,5.762502899397349
1.5,1.5,1.9156349396133971,0.4362533,7.384898481469527
1.5,1.625,1.9792036853193724,0.4233056,8.899026489921283
1.5,1.75,1.9846578473170666,0.4101507,10.469023353981477
1.5,1.875,1.9654193379055795,0.39553889999999997,12.184877306738258
1.5,2.0,2.0013208342122875,0.3824694,13.801243729924211
1.75,0.125,1.1741510609123536,0.512347,-1.3751067087259845
1.75,0.25,1.596780149949496,0.5241111,-2.7090301667784824
1.75,0.375,1.7838692815955506,0.5297067,-3.327506758032712
1.75,0.5,1.8197530678207123,0.5285196,-3.1739418952855303
1.75,0.625,1.8924151110195215,0.5233743,-2.5953129721680472
1.75,0.75,1.700476441340947,0.5155815,-1.7265364879175849
1.75,0.875,1.0506107329960062,0.503612,-0.34937626300125024
1.75,1.0,1.3393686876299844,0.4914886,1.0335728665223844
1.75,1.125,1.7598767760798926,0.4773224,2.640994857841843
1.75,1.25,1.8883813487478072,0.4621092,4.433153012090692
1.75,1.375,1.9741430146093142,0.4469375,6.156218811171866
1.75,1.5,1.9618761459570286,0.431426,7.9981671580869165
1.75,1.625,1.9927027491680913,0.4148005,9.964775067501204
1.75,1.75,1.9642862177544285,0.3992524,11.830677269830218
1.75,1.875,1.9639563894749354,0.3828006,13.864658077412772
1.75,2.0,1.996161519920537,0.3672687,15.783855230214172
2.0,0.125,1.4809404024704007,0.5214744,-2.453525624946049
2.0,0.25,1.726907245366507,0.5351861,-3.9909841670892767
2.0,0.375,1.8564337819714558,0.5410834,-4.626274909355136
2.0,0.5,1.9804124701613164,0.5420072,-4.7399496552651685
2.0,0.625,1.9135090645802886,0.5337573999999999,-3.788623045872973
