Pe_w,Pf_Pe,alpha,back_frac
0.5,0.5,1.564091341981254,0.49035379999999995
0.5,1.0,1.850056634408229,0.478609
0.5,1.5,1.9236110619675113,0.465057
0.5,2.0,1.984714606705681,0.4485261
0.5,2.5,1.9825583196561274,0.43114040000000003
0.5,3.0,1.9885638905589698,0.41331650000000003
0.5,3.5,1.9965549225909358,0.394565
0.5,4.0,2.0074377748574395,0.3761254
0.5,4.5,2.0008817206788505,0.3581254
0.5,5.0,1.9934585798741684,0.34011260000000004
1.0,0.5,0.9605673903764967,0.49743519999999997
1.0,1.0,1.837130760506365,0.4786607
1.0,1.5,1.932473329903146,0.4488045
1.0,2.0,1.97320846170235,0.4143457
1.0,2.5,1.9892974544842477,0.37666279999999996
1.0,3.0,1.9859787888964637,0.3396558
1.0,3.5,1.994400774630889,0.3040735
1.0,4.0,2.0013029030536815,0.2702371
1.0,4.5,2.003194509483526,0.2394602
1.0,5.0,2.000700789063837,0.2102429
1.5,0.5,1.6169824426212813,0.5164981
1.5,1.0,1.5958276032466843,0.4863815
1.5,1.5,1.9455455108246933,0.4363857
1.5,2.0,1.975280244273147,0.3815639
1.5,2.5,1.9929966265315782,0.3269354
1.5,3.0,1.9908344075484128,0.2763459
1.5,3.5,1.9991793696312645,0.2302313
1.5,4.0,1.99974314811104,0.18842520000000001
1.5,4.5,1.9951479293017327,0.1536993
1.5,5.0,2.002507035536535,0.12407069999999999
2.0,0.5,1.9948242680197454,0.5415562
2.0,1.0,1.0707475140523781,0.49532410000000004
2.0,1.5,1.9698783852296753,0.4254206
2.0,2.0,1.993019169385355,0.3528435
2.0,2.5,2.0015868262159464,0.284591
2.0,3.0,1.9954029946553196,0.2245296
2.0,3.5,2.0004474057549153,0.17301060000000001
2.0,4.0,1.99916734664689,0.1311545
2.0,4.5,2.0008124840485233,0.09841309999999999
2.0,5.0,2.000855340144419,0.0734416
2.5,0.5,2.0556809441436723,0.5677943
2.5,1.0,0.975875151080581,0.5028394
2.5,1.5,1.9659643162636264,0.41384
2.5,2.0,1.9919480350550887,0.32543
2.5,2.5,1.9960396309277313,0.2463959
2.5,3.0,1.9978430363692943,0.1808915
2.5,3.5,1.9971173994353824,0.130886
2.5,4.0,2.0018046823393623,0.0920368
2.5,4.5,1.999915860106329,0.0651929
2.5,5.0,1.99984870499522,0.0451234
3.0,0.5,2.0382653846392587,0.5963876
3.0,1.0,1.7729908044334919,0.510571
3.0,1.5,2.0002071766969296,0.40244559999999996
3.0,2.0,1.989874124599459,0.299619
3.0,2.5,1.9932063211478133,0.2141746
3.0,3.0,1.996377492271771,0.1485544
3.0,3.5,1.9973822227321198,0.0994808
3.0,4.0,1.9999651829227536,0.0663827
3.0,4.5,2.0000051059263972,0.0446784
3.0,5.0,1.9994368683430574,0.030030900000000003
3.5,0.5,2.05878673138259,0.6213869000000001
3.5,1.0,1.9616317630228735,0.516891
3.5,1.5,1.9882908275081095,0.3906489
3.5,2.0,2.0053800394856585,0.2758508
3.5,2.5,1.9940222135126318,0.186211
3.5,3.0,1.9957052251388512,0.1215359
3.5,3.5,1.9979543010105418,0.0778628
3.5,4.0,2.000074368844471,0.0502476
3.5,4.5,2.0011769406272015,0.0319713
3.5,5.0,1.998584887885331,0.020854400000000002
4.0,0.5,2.038358551452266,0.6473713
4.0,1.0,2.0153913103379253,0.5226335
4.0,1.5,1.9796644885587167,0.379249
4.0,2.0,1.993864237897284,0.2557159
4.0,2.5,1.998765267205772,0.16222879999999998
4.0,3.0,2.001407585217943,0.1006001
4.0,3.5,1.9983412404763872,0.062370100000000005
4.0,4.0,1.9995089460833533,0.0386435
4.0,4.5,1.998463359748985,0.0243027
4.0,5.0,2.0003122425324347,0.015158099999999999
4.5,0.5,2.018290786376506,0.6709189999999999
4.5,1.0,2.0019997222920307,0.5281747
4.5,1.5,1.9902691531715286,0.3681976
4.5,2.0,1.997630418873137,0.23548639999999998
4.5,2.5,1.9984348026279974,0.1433837
4.5,3.0,1.9989769176742325,0.08563219999999999
4.5,3.5,1.9987001811388416,0.051228
4.5,4.0,2.0002217619151614,0.030935
4.5,4.5,1.9983404069360944,0.0187438
4.5,5.0,2.0008438150326144,0.0112019
5.0,0.5,2.039027808907188,0.6939939999999999
5.0,1.0,2.054556567604971,0.5336469
5.0,1.5,1.9807358131089428,0.3575253
5.0,2.0,1.99707161806815,0.2175504
5.0,2.5,2.0012487337540503,0.1265656
5.0,3.0,2.0006208905022227,0.07355310000000001
5.0,3.5,2.001630698220558,0.0432132
5.0,4.0,1.9997078197324394,0.025081799999999998
5.0,4.5,2.0007126091876217,0.0145498
5.0,5.0,2.0010144005408916,0.0085938
