lp_w,Pf_Ps,alpha,trap_frac,mean_vx
0.25,0.125,1.1561242875926596,0.10612,207.01884274248894
0.25,0.25,1.3236066944957214,0.10582,369.3800557423497
0.25,0.375,1.569568275430571,0.10112,565.3599783756167
0.25,0.5,1.7377038185392506,0.0954,761.7960556404278
0.25,0.625,1.7355874699131555,0.09154,949.6483277202449
0.25,0.75,1.8271572567685916,0.08622,1169.0410620070566
0.25,0.875,1.8540610269716091,0.08124,1348.6990859926527
0.25,1.0,1.8901104372100628,0.07452,1564.2987350498188
0.25,1.125,1.9359859280691358,0.06974,1746.1080460371434
0.25,1.25,1.8922946359145154,0.06268,1946.6656010733896
0.25,1.375,1.92519945977522,0.05764,2182.826470272108
0.25,1.5,1.9444470682276036,0.05238,2370.6811936462236
0.25,1.625,1.946461603761046,0.04748,2589.665742548752
0.25,1.75,1.9568437810147523,0.042,2818.86543919231
0.25,1.875,1.9300755202886584,0.03524,3025.497840568003
0.25,2.0,1.9602011647098092,0.03208,3233.6670355411684
0.5,0.125,1.1048905604318422,0.19586,183.17155714574204
0.5,0.25,1.1269068432971303,0.20152,379.9761407431544
0.5,0.375,1.3269187803652591,0.19852,582.5312022780075
0.5,0.5,1.489567539563121,0.20196,823.9874888048623
0.5,0.625,1.576301051138558,0.19224,1045.6537540702352
0.5,0.75,1.6744050672721829,0.18298,1312.0251472359314
0.5,0.875,1.7323108831315515,0.1756,1622.2449264015445
0.5,1.0,1.8543352199858134,0.15542,1970.231152140913
0.5,1.125,1.8789854042989202,0.14216,2296.1292131130044
0.5,1.25,1.8758909585057066,0.12346,2697.1899591964793
0.5,1.375,1.8790079621261757,0.10484,3063.0940300693755
0.5,1.5,1.9140750776780826,0.08804,3442.9258689516823
0.5,1.625,1.9235532958814943,0.07378,3915.162662666533
0.5,1.75,1.9304367657696597,0.058,4323.120115087658
0.5,1.875,1.9570701096782916,0.04382,4730.435283291199
0.5,2.0,1.947820568657333,0.0334,5224.402426267055
0.75,0.125,1.0030787768345402,0.27034,-64.17030793803018
0.75,0.25,1.0849677521473875,0.28268,-0.07057070006461465
0.75,0.375,1.0093906836516204,0.29586,56.9902428476428
0.75,0.5,1.0605015178119823,0.29752,255.66136829737923
0.75,0.625,1.2561508874582663,0.28946,501.154017051485
0.75,0.75,1.4013155297111337,0.27722,873.2824615126324
0.75,0.875,1.422076649569524,0.25992,1184.143505299713
0.75,1.0,1.6621848599603417,0.23854,1630.6738310213518
0.75,1.125,1.759761710888593,0.2112,2132.3163763744546
0.75,1.25,1.8909336116553899,0.1783,2787.2526904818396
0.75,1.375,1.8619536893036162,0.1491,3355.8352563210265
0.75,1.5,1.8761491838289226,0.11766,4024.8748450365483
0.75,1.625,1.9318138189588512,0.09512,4644.3556591458355
0.75,1.75,1.9312379389161611,0.06964,5361.853148973235
0.75,1.875,1.9456719121489325,0.04884,6091.978996817463
0.75,2.0,1.9511004230230917,0.03226,6762.547233993523
1.0,0.125,1.0839239240250709,0.3255,-480.7723420884141
1.0,0.25,1.3248087608345571,0.3519,-836.7918868896581
1.0,0.375,1.3352207144067487,0.376,-968.5654893203836
1.0,0.5,1.3819677340905852,0.37364,-814.2562889108793
1.0,0.625,1.2738248535205272,0.36814,-603.2176652701066
1.0,0.75,1.0401618224101148,0.3542,-214.54783201113898
1.0,0.875,0.9873988899869174,0.32894,372.3343184372833
1.0,1.0,1.3614991893592987,0.29694,1012.0002395697255
1.0,1.125,1.6845333630609511,0.26122,1678.7985407943595
1.0,1.25,1.7337256749813275,0.2208,2575.06194619122
1.0,1.375,1.8374321890294432,0.18128,3402.1346636209464
1.0,1.5,1.8643292300208478,0.1443,4291.990742987708
1.0,1.625,1.9280480965159355,0.1143,5141.210648751437
1.0,1.75,1.9318867587161992,0.07952,6128.923245922451
1.0,1.875,1.9463502058631617,0.0539,7124.065859659089
1.0,2.0,1.9584831395738795,0.03204,8051.620050268657
1.25,0.125,1.2931378664987554,0.3695,-1026.0449212510118
1.25,0.25,1.5341961299291986,0.4048,-1761.4654944553029
1.25,0.375,1.7539169885292694,0.4346,-2224.8460322965984
1.25,0.5,1.7822845397692961,0.4409,-2287.569898958776
1.25,0.625,1.7950894508484854,0.43302,-1988.2667180136789
1.25,0.75,1.6532568430052519,0.41164,-1381.960274807087
1.25,0.875,1.3167857095593805,0.3771,-682.5318153510749
1.25,1.0,0.9891080891851863,0.3354,194.55972070551078
1.25,1.125,1.4631239655624972,0.28746,1184.4940162184914
1.25,1.25,1.6536137218545766,0.24496,2166.8163258234454
1.25,1.375,1.7659314531387524,0.19898,3283.0722522258807
1.25,1.5,1.880486636835908,0.1572,4443.643042306509
1.25,1.625,1.9315015053516202,0.12264,5531.116023997703
1.25,1.75,1.9209131838976035,0.08622,6723.593443606729
1.25,1.875,1.9555521261717117,0.05982,7920.6267739040895
1.25,2.0,1.9571055961028287,0.03398,9206.85580121337
1.5,0.125,1.4234322207207784,0.4044,-1763.641729666321
1.5,0.25,1.7616381711212012,0.45654,-3181.9418375312744
1.5,0.375,1.8797795030224775,0.48346,-3862.6974256473054
1.5,0.5,1.957684160390044,0.4883,-3925.862061602512
1.5,0.625,1.9506024160210367,0.4771,-3501.3959604208626
1.5,0.75,1.948753931596512,0.45252,-2783.533239131157
1.5,0.875,1.8173631106633206,0.41262,-1808.8751816637105
1.5,1.0,1.3050494918483,0.36194,-719.5421267045057
1.5,1.125,1.036233279546567,0.30352,466.93042120633
1.5,1.25,1.6237483641166104,0.24824,1788.8349228515815
1.5,1.375,1.7840359064874944,0.20516,3017.050153545022
1.5,1.5,1.8553752198431397,0.16296,4405.42040111117
1.5,1.625,1.9195339596345529,0.125,5799.800671566988
1.5,1.75,1.926884492712212,0.09446,7203.511954602525
1.5,1.875,1.952239832251181,0.06102,8611.886534724112
1.5,2.0,1.9570475604317854,0.0341,10108.795466804651
1.75,0.125,1.5498331691754503,0.44036,-2805.7197417848206
1.75,0.25,1.8859071698994327,0.50046,-4795.7108500508775
1.75,0.375,1.9862147577872384,0.52436,-5610.4174419911205
1.75,0.5,2.015868539309423,0.52754,-5690.405867468934
1.75,0.625,1.998980858004208,0.50358,-5055.680579892451
1.75,0.75,2.024238338924521,0.48236,-4118.436560789756
1.75,0.875,1.9497259339968942,0.44398,-2897.581291108345
1.75,1.0,1.7794850177865642,0.38838,-1617.6486948058118
1.75,1.125,0.9375940142164583,0.32368,-222.78655791906115
1.75,1.25,1.4210431983890133,0.25564,1289.8626769156044
1.75,1.375,1.7549142937781832,0.20228,2838.936642392115
1.75,1.5,1.8878138030083684,0.16112,4323.471396565198
1.75,1.625,1.8960509887696362,0.12488,5972.825423563733
1.75,1.75,1.9411005532536545,0.09202,7655.169162343221
1.75,1.875,1.933729045995624,0.0604,9265.813622552347
1.75,2.0,1.9565237284702062,0.0353,10976.866162123299
2.0,0.125,1.6496491967391946,0.46254,-3719.071350983255
2.0,0.25,1.942609521770861,0.53342,-6416.584521242034
2.0,0.375,2.017680466264313,0.55382,-7596.741415312345
2.0,0.5,2.030492183804212,0.55038,-7435.212332880261
2.0,0.625,2.0371332627678704,0.52724,-6613.053058181863
2.0,0.75,2.053157466031135,0.50706,-5471.713365761155
2.0,0.875,2.01864248370914,0.4686,-4082.238527726327
2.0,1.0,1.930142162664195,0.42108,-2584.5203772446616
2.0,1.125,1.4295722365560561,0.34786,-891.6901910528132
2.0,1.25,1.1475467257718075,0.2677,721.0861738842124
2.0,1.375,1.7134803430911805,0.20204,2442.243861003035
2.0,1.5,1.8489429293250543,0.1541,4243.780085446615
2.0,1.625,1.8988347980188034,0.11996,6120.55833410156
2.0,1.75,1.9321725623475696,0.0915,7887.033453636502
2.0,1.875,1.932736795251867,0.06072,9783.093234581935
2.0,2.0,1.955831155005005,0.03572,11716.220747043113
2.25,0.125,1.7821491845942872,0.49412,-5325.616872288164
2.25,0.25,1.9647488851726698,0.56722,-8518.587371956623
2.25,0.375,2.009487842317823,0.5813,-9401.526626139283
2.25,0.5,2.0358421890264378,0.5699,-9244.62749359447
